
Gem Systems GSM-19W 3101329 v6.0 24 X 2003 
ID 1 file 23c-ost .b   09 VII10
datum  48000.00


115435.0  48486.66 99
115436.0  48487.03 99
115437.0  48487.33 99
115438.0  48487.65 99
115439.0  48487.58 99
115440.0  48487.50 99
115441.0  48487.78 99
115442.0  48488.11 99
115443.0  48487.67 99
115444.0  48487.66 99
115445.0  48487.46 99
115446.0  48487.32 99
115447.0  48487.15 99
115448.0  48486.75 99
115449.0  48486.56 99
115450.0  48486.66 99
115451.0  48486.67 99
115452.0  48486.60 99
115453.0  48486.54 99
115454.0  48485.95 99
115455.0  48485.71 99
115456.0  48485.94 99
115457.0  48486.34 99
115458.0  48486.74 99
115459.0  48486.82 99
115500.0  48486.76 99
115501.0  48486.33 99
115502.0  48486.23 99
115503.0  48485.86 99
115504.0  48485.48 99
115505.0  48485.39 99
115506.0  48485.30 99
115507.0  48485.61 99
115508.0  48486.18 99
115509.0  48486.79 99
115510.0  48487.30 99
115511.0  48487.78 99
115512.0  48487.73 99
115513.0  48487.55 99
115514.0  48487.22 99
115515.0  48486.55 99
115516.0  48486.75 99
115517.0  48486.89 99
115518.0  48486.81 99
115519.0  48486.57 99
115520.0  48486.56 99
115521.0  48486.05 99
115522.0  48485.92 99
115523.0  48485.56 99
115524.0  48485.48 99
115525.0  48484.86 99
115526.0  48483.65 99
115527.0  48483.07 99
115528.0  48482.94 99
115529.0  48482.88 99
115530.0  48482.75 99
115531.0  48482.51 99
115532.0  48482.61 99
115533.0  48483.21 99
115534.0  48483.52 99
115535.0  48483.28 99
115536.0  48482.84 99
115537.0  48482.90 99
115538.0  48483.57 99
115539.0  48483.66 99
115540.0  48483.88 99
115541.0  48483.93 99
115542.0  48484.31 99
115543.0  48484.77 99
115544.0  48484.70 99
115545.0  48484.34 99
115546.0  48484.14 99
115547.0  48484.12 99
115548.0  48484.17 99
115549.0  48484.42 99
115550.0  48485.19 99
115551.0  48486.06 99
115552.0  48486.45 99
115553.0  48485.89 99
115554.0  48485.83 99
115555.0  48485.58 99
115556.0  48484.37 99
115557.0  48484.74 99
115558.0  48484.89 99
115559.0  48485.16 99
115600.0  48485.35 99
115601.0  48484.95 99
115602.0  48484.95 99
115603.0  48486.01 99
115604.0  48485.95 99
115605.0  48485.33 99
115606.0  48484.72 99
115607.0  48484.18 99
115608.0  48484.17 99
115609.0  48483.96 99
115610.0  48483.78 99
115611.0  48483.58 99
115612.0  48483.81 99
115613.0  48483.49 99
115614.0  48483.40 99
115615.0  48483.39 99
115616.0  48483.24 99
115617.0  48483.35 99
115618.0  48483.10 99
115619.0  48482.80 99
115620.0  48482.97 99
115621.0  48482.97 99
115622.0  48483.27 99
115623.0  48483.88 99
115624.0  48484.53 99
