0.00	0.00	48469.00	99	113841.7
0.30	0.00	48466.72	99	113854.3
0.60	0.00	48461.59	99	113902.6
0.90	0.00	48456.44	99	113917.0
1.20	0.00	48446.02	99	113929.9
0.00	0.30	48467.40	99	113946.8
0.30	0.30	48466.16	99	113958.8
0.60	0.30	48461.64	99	114028.2
0.90	0.30	48457.38	99	114035.8
1.20	0.30	48448.15	99	114044.8
0.00	0.60	48460.32	99	114100.7
0.30	0.60	48458.44	99	114108.9
0.60	0.60	48458.89	99	114116.7
0.90	0.60	48459.01	99	114125.1
1.20	0.60	48451.15	99	114131.6
0.00	0.90	48462.78	99	114148.9
0.30	0.90	48458.12	99	114207.5
0.60	0.90	48464.04	99	114215.2
0.90	0.90	48471.35	99	114222.7
1.20	0.90	48498.59	99	114229.6
0.00	1.20	48461.43	99	114242.1
0.30	1.20	48463.43	99	114313.0
0.60	1.20	48465.71	99	114321.3
0.90	1.20	48468.85	99	114330.9
1.20	1.20	48481.65	99	114341.4
0.00	1.50	48459.18	99	114413.6
0.30	1.50	48462.15	99	114425.2
0.60	1.50	48467.43	99	114432.6
0.90	1.50	48472.81	99	114439.8
1.20	1.50	48487.03	99	114446.2
