
Gem Systems GSM-19W 3101329 v6.0 24 X 2003 
ID 1 file 24c-sch .b   09 VII10
datum  48000.00


123709.0  48542.25 99
123710.0  48540.82 99
123711.0  48538.66 99
123712.0  48536.31 99
123713.0  48536.96 99
123714.0  48539.03 99
123715.0  48541.47 99
123716.0  48540.78 99
123717.0  48539.65 99
123718.0  48537.96 99
123719.0  48538.66 99
123720.0  48540.33 99
123721.0  48542.31 99
123722.0  48541.34 99
123723.0  48538.70 99
123724.0  48537.54 99
123725.0  48538.17 99
123726.0  48539.35 99
123727.0  48542.14 99
123728.0  48540.85 99
123729.0  48540.06 99
123730.0  48537.88 99
123731.0  48537.15 99
123732.0  48538.24 99
123733.0  48539.86 99
123734.0  48542.66 99
123735.0  48542.50 99
123736.0  48541.08 99
123737.0  48539.15 99
123738.0  48538.76 99
123739.0  48540.35 99
123740.0  48543.32 99
123741.0  48543.75 99
123742.0  48542.27 99
123743.0  48541.02 99
123744.0  48539.05 99
123745.0  48539.55 99
123746.0  48540.01 99
123747.0  48540.64 99
123748.0  48541.94 99
123749.0  48539.90 99
123750.0  48538.37 99
123751.0  48536.21 99
123752.0  48536.81 99
123753.0  48538.10 99
123754.0  48540.54 99
123755.0  48540.30 99
123756.0  48539.45 99
123757.0  48537.73 99
123758.0  48536.65 99
123759.0  48538.80 99
123800.0  48540.51 99
123801.0  48541.88 99
123802.0  48541.19 99
123803.0  48539.65 99
123804.0  48537.19 99
123805.0  48538.51 99
123806.0  48540.68 99
123807.0  48541.36 99
123808.0  48543.50 99
123809.0  48542.01 99
123810.0  48540.66 99
123811.0  48538.43 99
123812.0  48539.21 99
123813.0  48540.16 99
123814.0  48542.54 99
123815.0  48541.80 99
123816.0  48540.88 99
123817.0  48539.68 99
123818.0  48539.54 99
123819.0  48540.69 99
123820.0  48542.01 99
123821.0  48543.85 99
123822.0  48542.45 99
123823.0  48541.31 99
123824.0  48539.52 99
123825.0  48540.38 99
123826.0  48542.01 99
123827.0  48543.75 99
123828.0  48545.09 99
123829.0  48543.57 99
123830.0  48541.65 99
123831.0  48540.22 99
123832.0  48541.63 99
123833.0  48542.83 99
123834.0  48543.87 99
123835.0  48542.61 99
123836.0  48541.00 99
123837.0  48539.13 99
123838.0  48537.29 99
123839.0  48538.39 99
123840.0  48540.77 99
123841.0  48541.47 99
123842.0  48541.25 99
123843.0  48540.02 99
123844.0  48537.58 99
123845.0  48537.83 99
123846.0  48538.66 99
123847.0  48538.82 99
123848.0  48539.05 99
123849.0  48537.96 99
123850.0  48537.04 99
123851.0  48535.64 99
123852.0  48538.09 99
123853.0  48540.38 99
123854.0  48542.00 99
123855.0  48540.20 99
123856.0  48538.38 99
123857.0  48536.93 99
123858.0  48538.40 99
123859.0  48540.12 99
123900.0  48541.92 99
123901.0  48541.43 99
123902.0  48540.04 99
123903.0  48538.45 99
123904.0  48538.41 99
123905.0  48539.54 99
123906.0  48541.04 99
123907.0  48543.16 99
123908.0  48541.87 99
123909.0  48540.48 99
123910.0  48539.65 99
123911.0  48540.90 99
123912.0  48543.01 99
123913.0  48545.39 99
123914.0  48544.02 99
123915.0  48542.39 99
123916.0  48540.09 99
123917.0  48540.57 99
123918.0  48541.09 99
123919.0  48542.74 99
123920.0  48541.97 99
