
Gem Systems GSM-19W 3101329 v6.0 24 X 2003 
ID 1 file 21c-ost .b   09 VII10
datum  48000.00


104414.1  48463.99 99
104415.1  48465.07 99
104416.1  48466.01 99
104417.1  48464.94 99
104418.1  48464.69 99
104419.1  48464.49 99
104420.1  48464.41 99
104421.1  48464.47 99
104422.1  48464.92 99
104423.1  48465.12 99
104424.1  48464.84 99
104425.1  48464.89 99
104426.1  48464.66 99
104427.1  48463.70 99
104428.1  48463.63 99
104429.1  48463.77 99
104430.1  48463.61 99
104431.1  48462.92 99
104432.1  48462.86 99
104433.1  48462.36 99
104434.1  48463.57 99
104435.1  48464.58 99
104436.1  48464.94 99
104437.1  48464.40 99
104438.1  48465.10 99
104439.1  48465.60 99
104440.1  48464.62 99
104441.1  48464.93 99
104442.1  48465.20 99
104443.1  48466.20 99
104444.1  48466.63 99
104445.1  48465.86 99
104446.1  48465.52 99
104447.1  48465.63 99
104448.1  48466.78 99
104449.1  48467.70 99
104450.1  48466.45 99
104451.1  48465.65 99
104452.1  48465.48 99
104453.1  48466.12 99
104454.1  48466.01 99
104455.1  48466.00 99
104456.1  48465.86 99
104457.1  48465.77 99
104458.1  48466.37 99
104459.1  48466.70 99
104500.1  48466.54 99
104501.1  48466.35 99
104502.1  48466.19 99
104503.1  48466.19 99
104504.1  48466.67 99
104505.1  48466.33 99
104506.1  48466.07 99
104507.1  48465.90 99
104508.1  48466.07 99
104509.1  48466.29 99
104510.1  48465.91 99
104511.1  48465.88 99
104512.1  48466.32 99
104513.1  48466.68 99
104514.1  48466.67 99
104515.1  48466.20 99
104516.1  48465.80 99
104517.1  48465.18 99
104518.1  48465.00 99
104519.1  48464.94 99
104520.1  48465.27 99
104521.1  48465.95 99
104522.1  48466.18 99
104523.1  48465.61 99
104524.1  48465.32 99
104525.1  48465.95 99
104526.1  48466.31 99
104527.1  48466.21 99
104528.1  48465.60 99
104529.1  48465.37 99
104530.1  48465.24 99
104531.1  48465.33 99
104532.1  48465.92 99
104533.1  48466.26 99
104534.1  48466.48 99
104535.1  48465.64 99
104536.1  48465.39 99
104537.1  48465.57 99
104538.1  48465.35 99
104539.1  48465.39 99
104540.1  48465.59 99
104541.1  48466.00 99
104542.1  48466.09 99
104543.1  48465.98 99
104544.1  48465.88 99
104545.1  48465.79 99
104546.1  48465.99 99
104547.1  48466.26 99
104548.1  48466.35 99
104549.1  48465.79 99
104550.1  48465.65 99
104551.1  48465.54 99
104552.1  48465.31 99
104553.1  48465.13 99
104554.1  48464.95 99
104555.1  48464.89 99
104556.1  48464.81 99
104557.1  48464.76 99
104558.1  48465.35 99
104559.1  48465.95 99
104600.1  48466.39 99
104601.1  48467.01 99
104602.1  48467.07 99
104603.1  48466.42 99
104604.1  48466.52 99
104605.1  48467.31 99
104606.1  48467.66 99
104607.1  48467.58 99
104608.1  48467.36 99
104609.1  48467.25 99
104610.1  48467.15 99
104611.1  48466.47 99
104612.1  48466.69 99
104613.1  48467.01 99
104614.1  48466.87 99
104615.1  48467.05 99
104616.1  48467.14 99
104617.1  48467.55 99
104618.1  48468.00 99
104619.1  48467.88 99
104620.1  48467.83 99
104621.1  48467.64 99
104622.1  48467.73 99
104623.1  48467.71 99
104624.1  48467.59 99
104625.1  48467.34 99
104626.1  48467.22 99
104627.1  48467.27 99
104628.1  48466.91 99
104629.1  48466.18 99
104630.1  48464.29 99
104631.1  48465.04 99
104632.1  48465.56 99
104633.1  48462.33 99
104634.1  48461.89 99
104635.1  48461.55 99
104636.1  48462.36 99
104637.1  48462.31 99
104638.1  48463.10 99
104639.1  48463.73 99
104640.1  48463.59 99
104641.1  48463.59 99
104642.1  48464.18 99
104643.1  48464.55 99
104644.1  48465.24 99
104645.1  48466.40 99
104646.1  48467.32 99
104647.1  48467.23 99
104648.1  48466.94 99
104649.1  48466.84 99
104650.1  48466.63 99
104651.1  48465.97 99
104652.1  48465.44 99
104653.1  48464.98 99
104654.1  48465.04 99
104655.1  48465.29 99
104656.1  48465.16 99
104657.1  48464.97 99
104658.1  48465.41 99
104659.1  48466.01 99
104700.1  48466.12 99
104701.1  48466.43 99
104702.1  48467.16 99
104703.1  48467.99 99
104704.1  48468.33 99
104705.1  48468.32 99
104706.1  48468.10 99
104707.1  48468.01 99
104708.1  48467.94 99
104709.1  48467.43 99
104710.1  48466.87 99
104711.1  48466.58 99
104712.1  48466.20 99
104713.1  48465.75 99
104714.1  48465.71 99
104715.1  48466.14 99
104716.1  48467.06 99
104717.1  48467.38 99
104718.1  48467.79 99
104719.1  48467.81 99
104720.1  48467.73 99
104721.1  48467.94 99
104722.1  48467.55 99
104723.1  48466.88 99
104724.1  48467.04 99
104725.1  48467.32 99
104726.1  48467.10 99
104727.1  48466.94 99
104728.1  48466.75 99
104729.1  48466.63 99
104730.1  48466.75 99
104731.1  48466.90 99
104732.1  48466.71 99
104733.1  48466.66 99
104734.1  48466.36 99
104735.1  48466.41 99
104736.1  48465.44 99
104737.1  48465.19 99
104738.1  48465.17 99
104739.1  48464.89 99
104740.1  48464.59 99
104741.1  48464.54 99
104742.1  48464.67 99
104743.1  48464.90 99
104744.1  48464.04 99
104745.1  48463.97 99
104746.1  48463.48 99
104747.1  48463.56 99
104748.1  48463.01 99
104749.1  48463.22 99
104750.1  48463.58 99
104751.1  48463.67 99
104752.1  48464.04 99
104753.1  48464.27 99
104754.1  48465.09 99
104755.1  48464.52 99
104756.1  48465.34 99
104757.1  48465.52 99
104758.1  48465.73 99
104759.1  48466.03 99
104800.1  48468.45 99
104801.1  48466.33 99
104802.1  48466.09 99
104803.1  48466.07 99
104804.1  48466.08 99
104805.1  48466.36 99
104806.1  48467.01 99
104807.1  48467.73 99
104808.1  48467.83 99
104809.1  48467.58 99
104810.1  48466.63 99
104811.1  48466.02 99
104812.1  48465.91 99
104813.1  48465.03 99
104814.1  48464.63 99
104815.1  48464.73 99
104816.1  48465.11 99
104817.1  48465.60 99
104818.1  48465.98 99
104819.1  48466.40 99
104820.1  48466.72 99
104821.1  48466.68 99
104822.1  48466.37 99
104823.1  48466.42 99
104824.1  48465.79 99
104825.1  48465.20 99
104826.1  48465.00 99
104827.1  48464.44 99
104828.1  48464.23 99
