 # MagPy - ASCII
 # StationID:  WIC
 # DataPier:  A2
 # DataFormat:  MagPyDI
 # DataType:  MagPyDI1.0
 # DataComponents:  IDFF
 # DataID:  BLV_LEMI036_1_0002_GP20S3NSS2_012201_0001_A2
 # SensorID:  BLV_LEMI036_1_0002_GP20S3NSS2_012201_0001_A2
 # DataSamplingRate:  1980.0
# head:
Epoch[],i[deg],d[deg],f[nT],f[nT],T[deg C],ScaleValueDI[deg/unit],Dec_S0[],Dec_deltaH[],Dec_epsilonZ[],Inc_S0[],Inc_epsilonZ[],H-base[nT],D-base[deg],Z-base[nT],dF[],Person[],DI-Inst[],Mire[],F-type[],-[],-[],-[],-[]
# data:
2022-12-06T13:08:00.000000,64.47048315716863,4.80907299236392,48863.89183913348,48863.89183913348,7.3,0.9972306012603864,6.011490054693436,3.0101722471310293,66.5988443019583,6.269851506584485,66.71057284018138,23.336219371958578,3.673245700130931,-20.85395720994711,nan,Musterfrau,T010B_160391_07-2018_MAG01H_504_0911H_03-2016,180.1372,Fext,-,-,idff,nan
2022-12-06T13:33:00.000000,64.46674215166,4.81580421420748,48866.23693104773,48866.23693104773,7.3,0.9951535948178988,5.671237047477581,2.4472370994397976,65.88182120878739,5.713161536345112,66.70221023138879,23.555079306279367,3.67358992364083,-20.92267334479402,nan,Musterfrau,T010B_160391_07-2018_MAG01H_504_0911H_03-2016,180.1372,Fext,-,-,idff,nan
2022-12-14T08:05:00.000000,64.43800760373827,4.853050340876088,48864.26958338521,48864.26958338521,7.3,1.0202502500167607,6.095231573367792,2.9112448750017306,66.37510588235139,5.816761376532946,66.28486184373334,23.66571575432681,3.6740527587842817,-20.92991722937586,nan,Musterfrau,T010B_160391_07-2018_MAG01H_504_0911H_03-2016,180.1372,Fext,-,-,idff,nan
2022-12-14T08:30:00.000000,64.43962236756349,4.847005754189808,48861.02132279958,48861.02132279958,7.3,1.0026620983121892,5.610950041692901,2.9647225358865668,66.22642520094927,6.631350389838064,66.98756962596873,23.462204335955903,3.6733364448695593,-20.923487052248674,nan,Musterfrau,T010B_160391_07-2018_MAG01H_504_0911H_03-2016,180.1372,Fext,-,-,idff,nan
2022-12-22T08:49:00.000000,64.45005039372603,4.861022584698288,48862.50652764684,48862.50652764684,7.3,0.9947122355806619,6.141269584589006,2.5654937184441096,65.55052622549839,6.610308361194999,66.1274507965539,23.629906835802103,3.673229192369743,-20.911644304986112,0.1277366563683447,Musterfrau,T010B_160391_07-2018_MAG01H_504_0911H_03-2016,180.1372,Fabs,-,-,idff,nan
2022-12-22T09:13:00.000000,64.45911474727781,4.853087052523817,48858.44449896007,48858.44449896007,7.3,1.000506384687729,5.756046493223448,2.7126483496982585,65.84510381517191,6.505410138381013,66.11820215697612,23.416231779850932,3.673617390644037,-20.762136626290157,0.1277366563683447,Musterfrau,T010B_160391_07-2018_MAG01H_504_0911H_03-2016,180.1372,Fabs,-,-,idff,nan
2022-12-31T08:04:00.000000,64.46426968706082,4.882134563121819,48865.7925140133,48865.7925140133,7.3,1.0046762456826994,6.1113658235076045,2.659887714310283,65.76146352028496,6.556021497110182,66.13007550543553,23.699886305592372,3.6726444412074923,-20.931408623502648,nan,Musterfrau,T010B_160391_07-2018_MAG01H_504_0911H_03-2016,180.1372,Fext,-,-,idff,nan
2022-12-31T08:28:00.000000,64.46384647673746,4.872385113559127,48864.94760477348,48864.94760477348,7.3,0.9938046726899592,5.390684452102133,2.761223454107829,65.55423835063547,6.418279262907343,66.00350931774771,23.47373529168908,3.6744944505782624,-20.88568526036397,nan,Musterfrau,T010B_160391_07-2018_MAG01H_504_0911H_03-2016,180.1372,Fext,-,-,idff,nan
2023-01-05T09:16:00.000000,64.44913270943432,4.880797317813247,48859.14569048917,48859.14569048917,7.3,1.0031912708498685,5.913184430238645,2.8823021233920345,66.2472536658701,6.5273762987823885,66.42947436878214,23.222449941880768,3.6735057365650303,-21.006180344629684,-0.11112588253777253,Musterfrau,T010B_160391_07-2018_MAG01H_504_0911H_03-2016,180.1372,Fabs,-,-,idff,nan
2023-01-05T09:38:00.000000,64.45248268244144,4.858715291623396,48861.344855562784,48861.344855562784,7.3,0.995800231149525,5.9731624797722995,3.0710006571272377,66.33256949630878,6.230225491713571,66.31984206706078,23.43092772858654,3.6734313803273975,-21.059032447556092,-0.11112588253777253,Musterfrau,T010B_160391_07-2018_MAG01H_504_0911H_03-2016,180.1372,Fabs,-,-,idff,nan
2023-01-12T09:18:00.000000,64.46113932273401,4.848930401492339,48864.14118428457,48864.14118428457,7.3,1.004170500051847,6.190453817381849,2.7369270505377945,66.11670846544476,6.689605811094645,66.38296100484075,23.221726704334287,3.6738451705221533,-20.891401903820224,nan,Musterfrau,T010B_160391_07-2018_MAG01H_504_0911H_03-2016,180.1372,Fext,-,-,idff,nan
2023-01-12T09:41:00.000000,64.46103572498045,4.837491001339458,48865.64074979368,48865.64074979368,7.3,0.9901312816034125,6.091633625922203,2.786294637979708,66.07976355021755,6.507821461227292,66.30830122659148,23.39462778946472,3.6734161634091405,-20.980905709060607,nan,Musterfrau,T010B_160391_07-2018_MAG01H_504_0911H_03-2016,180.1372,Fext,-,-,idff,nan
2023-01-19T08:54:00.000000,64.45960290292469,4.9144605162853985,48868.671755735224,48868.671755735224,7.3,0.9988127775811318,6.706516298537973,2.3001330765058494,66.11508352104892,7.298727206457272,66.31808561428593,23.2306866987783,3.672905433884605,-20.83007716638531,nan,Musterfrau,T010B_160391_07-2018_MAG01H_504_0911H_03-2016,180.1372,Fext,-,-,idff,nan
2023-01-19T09:16:00.000000,64.46355368914409,4.885147956057773,48868.435181897505,48868.435181897505,7.3,0.9943551478363513,7.036971892476891,2.344049345450299,66.26767091759501,6.756625771403209,66.56534210375767,22.77299417351969,3.6745179829330223,-20.732335265704023,nan,Musterfrau,T010B_160391_07-2018_MAG01H_504_0911H_03-2016,180.1372,Fext,-,-,idff,nan
2023-01-19T09:45:00.000000,64.46144409615334,4.856872586922179,48869.35212336286,48869.35212336286,7.3,0.99202186362704,-3.511282096934166,-16.475071933216597,-11.496959861849337,-3.0304629454840315,-11.797536018431309,23.2162196496829,3.674515105286389,-20.724572539547808,nan,Musterfrau,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.13725,Fext,-,-,idff,nan
2023-01-19T10:08:00.000000,64.46779417635138,4.873327025062679,48863.953491314365,48863.953491314365,7.3,0.9839661002011343,-3.312364444833297,-16.1032883686046,-12.06556762990016,-3.216680118217427,-12.417159879278985,23.79044950503885,3.6746053188098813,-20.780875451186148,nan,Musterfrau,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.13725,Fext,-,-,idff,nan
2023-01-25T08:11:00.000000,64.44929774553943,4.869168972029526,48874.32575088682,48874.32575088682,7.3,0.987491564748533,6.287333165169896,2.536852239785832,65.75365396536186,6.647624433377621,65.92054597043773,23.377566178161942,3.673401783437353,-20.99168305205967,nan,Musterfrau,T010B_160391_07-2018_MAG01H_504_0911H_03-2016,180.1372,Fext,-,-,idff,nan
2023-01-25T08:34:00.000000,64.45140943717116,4.87263373940004,48876.27681688003,48876.27681688003,7.3,1.0027912158768655,5.860192327655067,2.8425926612358454,65.60735187897271,6.187689128489877,65.91958991770697,23.34890658056611,3.6741943385299263,-20.90576857288397,nan,Musterfrau,T010B_160391_07-2018_MAG01H_504_0911H_03-2016,180.1372,Fext,-,-,idff,nan
2023-02-01T09:31:00.000000,64.46920678002923,4.878996546873453,48869.65878357987,48869.65878357987,7.3,0.9944189657687474,6.072458776910486,2.3930117576042576,65.55510359644235,7.0107213195870415,65.62563737778662,23.457291001384874,3.6720648876506883,-20.861574929622293,nan,Musterfrau,T010B_160391_07-2018_MAG01H_504_0911H_03-2016,180.1372,Fext,-,-,idff,nan
2023-02-01T09:54:00.000000,64.47093538481809,4.866840758731417,48866.162208260626,48866.162208260626,7.3,1.0070988750146814,6.21637746682295,2.166231183849953,65.15234015880216,6.416042905613898,66.03327357498912,23.296382348307816,3.674185826920674,-20.825336413516197,nan,Musterfrau,T010B_160391_07-2018_MAG01H_504_0911H_03-2016,180.1372,Fext,-,-,idff,nan
2023-02-08T10:46:00.000000,64.46832133763371,4.815422336228765,48862.33709261457,48862.33709261457,7.3,0.977325324019758,6.084226588715678,2.7275414286850563,65.69188381488995,6.758369694683368,66.02611090912991,23.84934893877289,3.67461674471414,-20.83852382990881,nan,Musterfrau,T010B_160391_07-2018_MAG01H_504_0911H_03-2016,180.1372,Fext,-,-,idff,nan
2023-02-08T11:08:00.000000,64.4773606667381,4.757773852035411,48860.3616514608,48860.3616514608,7.3,1.0028262131874237,5.7082368136581145,2.4989047647276634,65.98050189757534,6.449001631973839,66.10420273599183,23.508456221290544,3.6734217308043893,-20.89652472918533,nan,Musterfrau,T010B_160391_07-2018_MAG01H_504_0911H_03-2016,180.1372,Fext,-,-,idff,nan
2023-02-15T09:53:00.000000,64.50169173716463,4.853158234866431,48857.6495792896,48857.6495792896,7.3,1.005844007549127,5.486912161175746,2.8342133234599123,66.11052016973746,6.08875816987991,66.25338788984907,23.766203579132707,3.674901178869899,-20.954824717948213,nan,Musterfrau,T010B_160391_07-2018_MAG01H_504_0911H_03-2016,180.1372,Fext,-,-,idff,nan
2023-02-15T10:15:00.000000,64.50911113958601,4.852889833660752,48858.257477863095,48858.257477863095,7.3,0.9847996985540397,5.506994966255911,2.8620154767796233,66.31562935208683,5.5619070924568375,66.60583120583254,23.645018438222905,3.6755387742401777,-21.007534284188296,nan,Musterfrau,T010B_160391_07-2018_MAG01H_504_0911H_03-2016,180.1372,Fext,-,-,idff,nan
2023-02-22T09:38:00.000000,64.44305881846181,4.874434282510495,48862.22792954595,48862.22792954595,7.3,0.9959971131296014,5.873422677865356,2.7253664808422675,65.74665547360651,6.242787241353937,65.93601203523627,23.257082726966473,3.6741309727587717,-21.005127379052283,nan,Musterfrau,T010B_160391_07-2018_MAG01H_504_0911H_03-2016,180.1372,Fext,-,-,idff,nan
