 # MagPy - ASCII
 # DataPier:  A2
 # DataComponents:  IDFF
 # StationID:  WIC
 # DataFormat:  MagPyDI
# head:
Epoch[],i[deg],d[deg],f[nT],f[nT],T[deg C],ScaleValueDI[deg/unit],Dec_S0[],Dec_deltaH[],Dec_epsilonZ[],Inc_S0[],Inc_epsilonZ[],H-base[nT],D-base[deg],Z-base[nT],dF[],Person[],DI-Inst[],Mire[],F-type[],-[],-[],-[],-[]
# data:
2015-09-23T07:45:00.028803,64.2720123718,3.89796112479,48487.3127631,48487.3127631,6.9,0.98839246356,1.18170859578,-4.02258133742,14.6547157884,2.41240272817,14.0903763688,20959.2363402,3.86614408366,43568.7969825,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-09-30T07:34:59.980800,64.2768239691,3.91334725617,48493.8554199,48493.8554199,6.8,0.982777519341,1.08938363387,-4.55710705911,16.385087704,0.97302690875,14.7340949635,20959.1133478,3.86353680601,43568.8756573,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-09-30T08:08:00.009600,64.2787230276,3.92177875215,48490.3789826,48490.3789826,6.8,0.987202826759,2.07943289251,-3.66201699296,13.6990302637,1.48377035218,13.9110938265,20959.386183,3.86504825407,43568.7393468,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-09-30T08:39:59.990395,64.278289631,3.91999720072,48485.7327545,48485.7327545,6.8,0.983995109317,2.39582642809,-4.23175968756,13.6707082229,2.06424508625,13.8277136401,20959.1445326,3.86648316939,43568.8975768,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,359.25498,Fext,0000000000000000-,-,idff,-
2015-10-08T07:05:00.009604,64.3204391381,3.92691160033,48493.8445738,48493.8445738,6.8,0.909421420665,2.51175821332,-4.85749662361,15.9622435263,2.57182727473,14.6021093234,20959.1063887,3.86484653982,43568.7270694,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-10-08T07:36:00.028795,64.3169899323,3.87963693865,48496.6553218,48496.6553218,6.8,0.967781647299,2.52931609792,-3.91787898821,13.2525970576,1.4953224822,13.0845418894,20959.2015914,3.86562755746,43568.7654069,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-10-14T07:09:59.990395,64.2961382813,3.88168091256,48492.8814542,48492.8814542,6.8,0.993303541747,1.47308775631,-4.1381068978,14.6571649097,1.40556359947,14.9274208665,20958.9562464,3.86519099547,43568.9831216,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-10-14T07:39:00.000000,64.2857183042,3.87055365554,48498.7328703,48498.7328703,6.8,0.975328430171,1.96714543706,-3.81487225616,13.4098419127,1.62313678601,13.7196380403,20959.1728144,3.86560020894,43568.8971783,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-10-21T08:55:59.980802,64.2831299551,3.90017281747,48488.4740871,48488.4740871,6.8,0.985529574751,-0.0121120489709,-4.34160205507,14.3852724043,0.830522627317,14.1338053546,20959.3703669,3.86303271705,43568.7827233,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-10-21T09:27:59.961597,64.2800166684,3.88479421625,48485.5634893,48485.5634893,6.8,0.979035625265,1.85233608104,-3.8582731691,13.0326140631,1.37311967537,13.2393702792,20958.6172486,3.86490378835,43569.1071557,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
